lessonId,title,displayedFormula,sourceWithinApplication,enginePreset,exampleInputs,expectedOutputs,reviewStatus
1,Basic Calculator,"brackets, powers, multiply/divide, add/subtract",core lesson content formula card,calculator.basic-arithmetic,calculator-expression,calculator-result,needs-review
1,Basic Calculator,a+b\times c=a+(b\times c),core lesson content formula card,calculator.basic-arithmetic,calculator-expression,calculator-result,needs-review
2,Fraction Calculator,a/b = a divided by b,core lesson content formula card,calculator.fractions,calculator-expression,calculator-result,needs-review
2,Fraction Calculator,a+b\times c=a+(b\times c),core lesson content formula card,calculator.fractions,calculator-expression,calculator-result,needs-review
3,Mixed Numbers,a b/c = a + b/c,core lesson content formula card,calculator.mixed-numbers,calculator-expression,calculator-result,needs-review
3,Mixed Numbers,a+b\times c=a+(b\times c),core lesson content formula card,calculator.mixed-numbers,calculator-expression,calculator-result,needs-review
4,Percentage Calculator,p% of x = (p/100)x,core lesson content formula card,calculator.percentages,calculator-expression,calculator-result,needs-review
4,Percentage Calculator,a+b\times c=a+(b\times c),core lesson content formula card,calculator.percentages,calculator-expression,calculator-result,needs-review
5,Ratio Calculator,a:b = ka:kb,core lesson content formula card,calculator.ratios,calculator-expression,calculator-result,needs-review
5,Ratio Calculator,a+b\times c=a+(b\times c),core lesson content formula card,calculator.ratios,calculator-expression,calculator-result,needs-review
6,Powers and Roots,sqrt(a)=b means b^2=a,core lesson content formula card,calculator.powers-roots,calculator-expression,calculator-result,needs-review
6,Powers and Roots,a+b\times c=a+(b\times c),core lesson content formula card,calculator.powers-roots,calculator-expression,calculator-result,needs-review
7,Scientific Notation,N = a x 10^n,core lesson content formula card,calculator.scientific-notation,calculator-expression,calculator-result,needs-review
7,Scientific Notation,a+b\times c=a+(b\times c),core lesson content formula card,calculator.scientific-notation,calculator-expression,calculator-result,needs-review
8,Logarithms,log_b(x)=y means b^y=x,core lesson content formula card,calculator.logarithms,calculator-expression,calculator-result,needs-review
8,Logarithms,a+b\times c=a+(b\times c),core lesson content formula card,calculator.logarithms,calculator-expression,calculator-result,needs-review
9,Exponential Calculations,a^n = a x a x ... x a,core lesson content formula card,calculator.exponentials,calculator-expression,calculator-result,needs-review
9,Exponential Calculations,a+b\times c=a+(b\times c),core lesson content formula card,calculator.exponentials,calculator-expression,calculator-result,needs-review
10,Trigonometric Calculator,"sin(theta)=opposite/hypotenuse, cos(theta)=adjacent/hypotenuse",core lesson content formula card,calculator.trigonometric-values,calculator-expression,calculator-result,needs-review
10,Trigonometric Calculator,a+b\times c=a+(b\times c),core lesson content formula card,calculator.trigonometric-values,calculator-expression,calculator-result,needs-review
11,Inverse Trigonometry,sin^-1(r)=theta means sin(theta)=r,core lesson content formula card,calculator.inverse-trigonometry,calculator-expression,calculator-result,needs-review
11,Inverse Trigonometry,a+b\times c=a+(b\times c),core lesson content formula card,calculator.inverse-trigonometry,calculator-expression,calculator-result,needs-review
12,Hyperbolic Functions,sinh(x)=(e^x-e^-x)/2,core lesson content formula card,calculator.hyperbolic-functions,calculator-expression,calculator-result,needs-review
12,Hyperbolic Functions,a+b\times c=a+(b\times c),core lesson content formula card,calculator.hyperbolic-functions,calculator-expression,calculator-result,needs-review
13,"Factorial, Permutation and Combination",nCr = n!/(r!(n-r)!),core lesson content formula card,calculator.factorial-permutation-combination,calculator-expression,calculator-result,needs-review
13,"Factorial, Permutation and Combination",a+b\times c=a+(b\times c),core lesson content formula card,calculator.factorial-permutation-combination,calculator-expression,calculator-result,needs-review
14,Absolute Value,|x| = distance from 0,core lesson content formula card,calculator.absolute-value,calculator-expression,calculator-result,needs-review
